Ticker,Company
CSCO,"Cisco Systems, Inc"
CTXS,"Citrix Systems, Inc"
CCC,Clarivate Analytics Plc
CLSK,Cleanspark Inc.
CLFD,"Clearfield, Inc"
CLRO,"ClearOne, Inc"
CLDR,"Cloudera, Inc"
NET,"Cloudflare, Inc"
CLPS,CLPS Incorporation
CGNX,Cognex Corporation
CTSH,Cognizant Technology Solutions Corporation
COHR,"Coherent, Inc"
COHU,"Cohu, Inc"
COMM,"CommScope Holding Company, Inc"
JCS,"Communications Systems, Inc"
CVLT,"Commvault Systems, Inc"
CTG,"Computer Task Group, Incorporated"
CMTL,Comtech Telecommunications Corp
CNDT,Conduent Incorporated
CTK,CooTek (Cayman) Inc
CLGX,"CoreLogic, Inc"
CSOD,"Cornerstone OnDemand, Inc"
GLW,Corning Incorporated
CRSR,Corsair Gaming Inc.
CPAH,CounterPath Corporation
COUP,Coupa Software Incorporated
CPSH,CPS Technologies Corporation
CREX,"Creative Realities, Inc"
CREE,"Cree, Inc"
CXDO,Crexendo Inc.
CRWD,"CrowdStrike Holdings, Inc"
CSGS,"CSG Systems International, Inc"
CSPI,CSP Inc
CTS,CTS Corporation
CYBR,CyberArk Software Ltd
CYBE,CyberOptics Corporation
CTEK,"CynergisTek, Inc"
CYRN,CYREN Ltd
DAKT,"Daktronics, Inc"
DQ,Daqo New Energy Corp
DZSI,"DASAN Zhone Solutions, Inc"
DDOG,"Datadog, Inc"
DAIO,Data I/O Corporation
DTSS,Datasea Inc
DELL,Dell Technologies Inc
DSWL,"Deswell Industries, Inc"
DBD,"Diebold Nixdorf, Incorporated"
DGII,Digi International Inc
DMRC,Digimarc Corporation
APPS,"Digital Turbine, Inc"
DIOD,Diodes Incorporated
DCBO,Docebo Inc
DOCU,"DocuSign, Inc"
DOMO,"Domo, Inc"
DBX,"Dropbox, Inc"
DSPG,"DSP Group, Inc"
DCT,Duck Creek Technologies Inc
DNB,Dun & Bradstreet Holdings Inc
DUOT,Duos Technologies Group Inc
DXC,DXC Technology Company
DT,"Dynatrace, Inc"
EBON,Ebang International Holdings Inc. Class A
EBIX,"Ebix, Inc"
SATS,EchoStar Corporation
EGAN,eGain Corporation
ESTC,Elastic N.V
ELSE,"Electro-Sensors, Inc"
ELTK,Eltek Ltd
EMAN,eMagin Corporation
EMKR,EMCORE Corporation
MSN,Emerson Radio Corp
DAVA,Endava plc
EIGI,"Endurance International Group Holdings, Inc"
WATT,Energous Corporation
ENPH,"Enphase Energy, Inc"
ENTG,"Entegris, Inc"
ENV,"Envestnet, Inc"
EVSI,"Envision Solar International, Inc"
EPAM,"EPAM Systems, Inc"
PLUS,ePlus inc
ESE,ESCO Technologies Inc
EEFT,"Euronet Worldwide, Inc"
EB,"Eventbrite, Inc"
EVBG,"Everbridge, Inc"
MRAM,"Everspin Technologies, Inc"
EVTC,"EVERTEC, Inc"
EVOL,"Evolving Systems, Inc"
EVOP,"EVO Payments, Inc"
XELA,"Exela Technologies, Inc"
EXFO,EXFO Inc
EXLS,"ExlService Holdings, Inc"
EXTR,"Extreme Networks, Inc"
FFIV,"F5 Networks, Inc"
FN,Fabrinet
FICO,Fair Isaac Corporation
FARO,"FARO Technologies, Inc"
FSLY,"Fastly, Inc"
FIS,"Fidelity National Information Services, Inc"
FEYE,"FireEye, Inc"
FSLR,"First Solar, Inc"
FISV,"Fiserv, Inc"
FIT,"Fitbit, Inc"
FIVN,"Five9, Inc"
FLT,"FleetCor Technologies, Inc"
FLEX,Flex Ltd
FLIR,"FLIR Systems, Inc"
FORM,"FormFactor, Inc"
FORTY,Formula Systems (1985) Ltd
FTNT,"Fortinet, Inc"
FTV,Fortive Corporation
FEIM,"Frequency Electronics, Inc"
FTFT,Future FinTech Group Inc
GRMN,Garmin Ltd
IT,"Gartner, Inc"
GDS,GDS Holdings Limited
G,Genpact Limited
GILT,Gilat Satellite Networks Ltd
GLOB,Globant S.A
GDDY,GoDaddy Inc
GPRO,"GoPro, Inc"
GSKY,"GreenSky, Inc"
GDYN,Grid Dynamics Holdings Inc. Class A
GSUM,Gridsum Holding Inc
GVP,"GSE Systems, Inc"
GSIT,"GSI Technology, Inc"
GTYH,GTY Technology Holdings Inc
GWRE,"Guidewire Software, Inc"
HBB,Hamilton Beach Brands Holding Company
HLIT,Harmonic Inc
HPE,Hewlett Packard Enterprise Company
HIMX,"Himax Technologies, Inc"
HPQ,HP Inc
HMI,Huami Corporation
HUBS,"HubSpot, Inc"
IIIV,"i3 Verticals, Inc"
IBEX,IBEX Ltd
ICHR,"Ichor Holdings, Ltd"
IDEX,"Ideanomics, Inc"
INVE,"Identiv, Inc"
IEC,IEC Electronics Corp
IIVI,II-VI Incorporated
ISNS,"Image Sensing Systems, Inc"
IMMR,Immersion Corporation
PI,"Impinj, Inc"
INFN,Infinera Corporation
III,"Information Services Group, Inc"
INFY,Infosys Limited
INOD,Innodata Inc
IPHI,Inphi Corporation
INPX,Inpixon
INSG,Inseego Corp
NSIT,"Insight Enterprises, Inc"
IMTE,Integrated Media Technology Limited
INTC,Intel Corporation
IDN,"Intellicheck, Inc"
INS,Intelligent Systems Corporation
IBM,International Business Machines Corporation
IMXI,"International Money Express, Inc"
INTT,inTEST Corporation
INTZ,Intrusion Inc.
INTU,Intuit Inc
IPGP,IPG Photonics Corporation
IRBT,iRobot Corporation
ISDR,Issuer Direct Corporation
ITI,"Iteris, Inc"
ITRI,"Itron, Inc"
ITRN,Ituran Location and Control Ltd
JCOM,"j2 Global, Inc"
JBL,Jabil Inc
JKHY,"Jack Henry & Associates, Inc"
FROG,JFrog Ltd.
JKS,"JinkoSolar Holding Co., Ltd"
JNPR,"Juniper Networks, Inc"
KEYS,"Keysight Technologies, Inc"
KTCC,Key Tronic Corporation
KC,Kingsoft Cloud Holdings Ltd Sponsored ADR
KLAC,KLA Corporation
KN,Knowles Corporation
KOPN,Kopin Corporation
KOSS,Koss Corporation
KBNT,Kubient Inc
KLIC,"Kulicke and Soffa Industries, Inc"
KVHI,"KVH Industries, Inc"
LRCX,Lam Research Corporation
LTRX,"Lantronix, Inc"
LSCC,Lattice Semiconductor Corporation
LDOS,"Leidos Holdings, Inc"
LPL,"LG Display Co., Ltd"
LPTH,"LightPath Technologies, Inc"
LSPD,Lightspeed POS Inc.
LLNW,"Limelight Networks, Inc"
LINX,Linx S.A
LFUS,"Littelfuse, Inc"
LPSN,"LivePerson, Inc"
RAMP,"LiveRamp Holdings, Inc"
LOGI,Logitech International S.A
GNSS,LRAD Corporation
LYTS,LSI Industries Inc
LITE,Lumentum Holdings Inc
LUNA,Luna Innovations Incorporated
LYFT,"Lyft, Inc"
MTSI,"MACOM Technology Solutions Holdings, Inc"
MGIC,Magic Software Enterprises Ltd
MX,MagnaChip Semiconductor Corporation
MANH,"Manhattan Associates, Inc"
MANT,ManTech International Corporation
MRIN,Marin Software Incorporated
MRVL,Marvell Technology Group Ltd
MTLS,Materialise NV
MAXR,Maxar Technologies Inc
MAXN,Maxeon Solar Technologies Ltd.
MXIM,"Maxim Integrated Products, Inc"
MXL,"MaxLinear, Inc"
MCFE,McAfee Corp. Class A
MDLA,"Medallia, Inc"
MLAB,"Mesa Laboratories, Inc"
MEI,"Methode Electronics, Inc"
MCHP,Microchip Technology Incorporated
MFGP,Micro Focus International plc
MU,"Micron Technology, Inc"
MSFT,Microsoft Corporation
MSTR,MicroStrategy Incorporated
MVIS,"MicroVision, Inc"
MICT,"MICT, Inc"
MIME,Mimecast Limited
MNDO,MIND C.T.I. Ltd
MIND,"Mitcham Industries, Inc"
MITK,"Mitek Systems, Inc"
MIXT,MiX Telematics Limited
MKSI,"MKS Instruments, Inc"
MTC,"Mmtec, Inc"
MODN,"Model N, Inc"
MOGO,Mogo Inc
MWK,"Mohawk Group Holdings, Inc"
MDB,"MongoDB, Inc"
MPWR,"Monolithic Power Systems, Inc"
MOSY,"MoSys, Inc"
MSI,"Motorola Solutions, Inc"
MTSC,MTS Systems Corporation
MYSZ,"My Size, Inc"
NNDM,Nano Dimension Ltd
NATI,National Instruments Corporation
NCNO,nCino Inc.
NCR,NCR Corporation
NEON,Neonode Inc
NPTN,NeoPhotonics Corporation
UEPS,"Net 1 UEPS Technologies, Inc"
NTAP,"NetApp, Inc"
NETE,"Net Element, Inc"
NTGR,"NETGEAR, Inc"
NTCT,"NetScout Systems, Inc"
NTWK,"NetSol Technologies, Inc"
NTIP,"Network-1 Technologies, Inc"
NEWR,"New Relic, Inc"
NICE,NICE Ltd
EGOV,NIC Inc
LASR,"nLIGHT, Inc"
NOK,Nokia Corporation
NSYS,Nortech Systems Incorporated
NLOK,NortonLifeLock Inc.
NVMI,Nova Measuring Instruments Ltd
NOVT,Novanta Inc
NUAN,"Nuance Communications, Inc"
NTNX,"Nutanix, Inc"
NVEC,NVE Corporation
NVDA,NVIDIA Corporation
NXPI,NXP Semiconductors N.V
OIIM,O2Micro International Limited
OBLG,Oblong Inc.
OKTA,"Okta, Inc"
OLB,OLB Group Inc.
OCFT,OneConnect Financial Technology Co Ltd Sponsored ADR
OSPN,OneSpan Inc
OSS,"One Stop Systems, Inc"
ON,ON Semiconductor Corporation
ONTO,Onto Innovation Inc
OTEX,Open Text Corporation
OPRA,Opera Limited
OCC,Optical Cable Corporation
ORCL,Oracle Corporation
OSIS,"OSI Systems, Inc"
PD,"PagerDuty, Inc"
PAGS,PagSeguro Digital Ltd
PLTR,Palantir Technologies Inc. Class A
PANW,"Palo Alto Networks, Inc"
PCYG,"Park City Group, Inc"
PAR,PAR Technology Corporation
PAYA,Paya Holdings Inc Class A
PAYC,"Paycom Software, Inc"
PCTY,Paylocity Holding Corporation
CNXN,"PC Connection, Inc"
PCTI,"PCTEL, Inc"
PDFS,"PDF Solutions, Inc"
PEGA,Pegasystems Inc
PRCP,"Perceptron, Inc"
PRFT,"Perficient, Inc"
PRSP,Perspecta Inc
PLAB,"Photronics, Inc"
PHUN,"Phunware, Inc"
PING,Ping Identity Holding Corp
PXLW,"Pixelworks, Inc"
PLT,"Plantronics, Inc"
PLXS,Plexus Corp
PS,"Pluralsight, Inc"
PBTS,"Powerbridge Technologies Co., Ltd"
POWI,"Power Integrations, Inc"
PRTH,"Priority Technology Holdings, Inc"
PRGS,Progress Software Corporation
PFPT,"Proofpoint, Inc"
PRO,"PROS Holdings, Inc"
PTC,PTC Inc
PSTG,"Pure Storage, Inc"
QTWO,"Q2 Holdings, Inc"
QADB,QAD Inc
QADA,QAD Inc
QRVO,"Qorvo, Inc"
QCOM,QUALCOMM Incorporated
QLYS,"Qualys, Inc"
QMCO,Quantum Corporation
QH,Quhuo Ltd. Sponsored ADR Class A
QUIK,QuickLogic Corporation
QUMU,Qumu Corporation
RXT,Rackspace Technology Inc.
RDWR,Radware Ltd
RMBS,Rambus Inc
RPD,"Rapid7, Inc"
RP,"RealPage, Inc"
RDVT,"Red Violet, Inc"
REKR,"Rekor Systems, Inc"
SOL,ReneSola Ltd
RPAY,Repay Holdings Corporation
REFR,Research Frontiers Incorporated
RSSS,Research Solutions Inc.
RESN,Resonant Inc
RELL,"Richardson Electronics, Ltd"
RMNI,"Rimini Street, Inc"
RNG,"RingCentral, Inc"
RIOT,"Riot Blockchain, Inc"
ROG,Rogers Corporation
RBCN,"Rubicon Technology, Inc"
SABR,Sabre Corporation
SFET,Safe-T Group Ltd
SAIL,"SailPoint Technologies Holdings, Inc"
CRM,"salesforce.com, inc"
SANM,Sanmina Corporation
SPNS,Sapiens International Corporation N.V
SAP,SAP SE
SCSC,"ScanSource, Inc"
SMIT,"Schmitt Industries, Inc"
SAIC,Science Applications International Corporation
SEAC,"SeaChange International, Inc"
STX,Seagate Technology plc
SCWX,SecureWorks Corp
LEDS,SemiLEDs Corporation
SMTC,Semtech Corporation
ST,Sensata Technologies Holding plc
SQNS,Sequans Communications S.A
NOW,"ServiceNow, Inc"
SREV,"ServiceSource International, Inc"
SHSP,"SharpSpring, Inc"
FOUR,Shift4 Payments Inc. Class A
SHOP,Shopify Inc
SSTI,"ShotSpotter, Inc"
SWIR,"Sierra Wireless, Inc"
SGLB,"Sigma Labs, Inc"
SGMA,"SigmaTron International, Inc"
SILC,Silicom Ltd
SLAB,Silicon Laboratories Inc
SIMO,Silicon Motion Technology Corporation
SSNT,"SilverSun Technologies, Inc"
SITM,SiTime Corporation
SYTA,Siyata Mobile Inc.
SWKS,"Skyworks Solutions, Inc"
WORK,"Slack Technologies, Inc"
SGH,"SMART Global Holdings, Inc"
SMAR,Smartsheet Inc
SMSI,"Smith Micro Software, Inc"
SMTX,SMTC Corporation
SCKT,"Socket Mobile, Inc"
SEDG,"SolarEdge Technologies, Inc"
SWI,SolarWinds Corporation
SONM,"Sonim Technologies, Inc"
SONO,"Sonos, Inc"
SNE,Sony Corporation
ANY,Sphere 3D Corp
SPI,"SPI Energy Co., Ltd"
SPLK,Splunk Inc
SPT,Sprout Social Inc Class A
SPSC,"SPS Commerce, Inc"
SQ,"Square, Inc"
SSNC,"SS&C Technologies Holdings, Inc"
STMP,Stamps.com Inc
STM,STMicroelectronics N.V
STNE,StoneCo Ltd
SSYS,Stratasys Ltd
WISA,"Summit Wireless Technologies, Inc"
SUMO,Sumo Logic Inc.
NOVA,Sunnova Energy International Inc
SPWR,SunPower Corporation
RUN,Sunrun Inc
SUNW,"Sunworks, Inc"
SCON,Superconductor Technologies Inc
SMCI,Super Micro Computer Inc.
SPRT,"Support.com, Inc"
SVMK,SVMK Inc
SWCH,"Switch, Inc"
SYKE,"Sykes Enterprises, Incorporated"
SYNC,"Synacor, Inc"
SYNA,Synaptics Incorporated
SNCR,"Synchronoss Technologies, Inc"
SNX,SYNNEX Corporation
SNPS,"Synopsys, Inc"
TAIT,Taitron Components Incorporated
TSM,Taiwan Semiconductor Manufacturing Company Limited
TLND,Talend S.A
TAOP,Taoping Inc
TCCO,Technical Communications Corporation
TEL,TE Connectivity Ltd
TDY,Teledyne Technologies Incorporated
ERIC,Telefonaktiebolaget LM Ericsson (publ)
TNAV,"Telenav, Inc"
TENB,"Tenable Holdings, Inc"
TDC,Teradata Corporation
TER,"Teradyne, Inc"
TESS,TESSCO Technologies Incorporated
TXN,Texas Instruments Incorporated
DSGX,The Descartes Systems Group Inc
HCKT,"The Hackett Group, Inc"
LGL,"The LGL Group, Inc"
PECK,"The Peck Company Holdings, Inc"
TTD,"The Trade Desk, Inc"
TSEM,Tower Semiconductor Ltd
TACT,TransAct Technologies Incorporated
TRMB,Trimble Inc
TRT,Trio-Tech International
TSRI,"TSR, Inc"
TTEC,"TTEC Holdings, Inc"
TTMI,"TTM Technologies, Inc"
TCX,Tucows Inc
TUFN,Tufin Software Technologies Ltd
HEAR,Turtle Beach Corporation
TYL,"Tyler Technologies, Inc"
UBER,"Uber Technologies, Inc"
UI,Ubiquiti Inc
UCTT,"Ultra Clean Holdings, Inc"
UIS,Unisys Corporation
UMC,United Microelectronics Corporation
OLED,Universal Display Corporation
UEIC,Universal Electronics Inc
UPLD,"Upland Software, Inc"
USAT,"USA Technologies, Inc."
USIO,"Usio, Inc"
UTSI,UTStarcom Holdings Corp
VRNS,"Varonis Systems, Inc"
VECO,Veeco Instruments Inc
VLDR,Velodyne Lidar Inc.
VERB,"Verb Technology Company, Inc"
VRNT,Verint Systems Inc
VRSN,"VeriSign, Inc"
VERI,"Veritone, Inc"
VERX,Vertex Inc. Class A
VIAO,VIA optronics AG Sponsored ADR
VSAT,"Viasat, Inc"
VIAV,Viavi Solutions Inc
VICR,Vicor Corporation
VIOT,"Viomi Technology Co., Ltd"
VHC,VirnetX Holding Corp
VRTU,Virtusa Corporation
VSH,"Vishay Intertechnology, Inc"
VPG,"Vishay Precision Group, Inc"
VISL,"Vislink Technologies, Inc"
VVPR,VivoPower International PLC
VMW,"VMware, Inc"
VCRA,"Vocera Communications, Inc"
VNT,Vontier Corp
VJET,voxeljet AG
VOXX,VOXX International Corporation
VUZI,Vuzix Corporation
WTRH,Waitr Holdings Inc
WSTG,"Wayside Technology Group, Inc"
WSTL,"Westell Technologies, Inc"
WDC,Western Digital Corporation
WEX,WEX Inc
WYY,WidePoint Corporation
WIT,Wipro Limited
WTT,"Wireless Telecom Group, Inc"
WKEY,WISeKey International Holding Ltd. Sponsored ADR
WIX,Wix.com Ltd
WDAY,"Workday, Inc"
WK,Workiva Inc
WRTC,"Wrap Technologies, Inc"
XRX,Xerox Holdings Corporation
XLNX,"Xilinx, Inc"
XPER,Xperi Corporation
YALA,Yalla Group Limited Sponsored ADR Class A
YAYO,YayYo Inc.
YEXT,"Yext, Inc"
ZBRA,Zebra Technologies Corporation
ZDGE,"Zedge, Inc"
ZEN,"Zendesk, Inc"
ZIXI,Zix Corporation
ZI,ZoomInfo Technologies Inc. Class A
ZS,"Zscaler, Inc"
ZUO,"Zuora, Inc"
PWFL,
