Ticker,Company
HSON,"Hudson Global, Inc"
HII,"Huntington Ingalls Industries, Inc"
HURC,"Hurco Companies, Inc"
HURN,Huron Consulting Group Inc
HBP,"Huttig Building Products, Inc"
HYRE,HyreCar Inc
HY,"Hyster-Yale Materials Handling, Inc"
IAA,"IAA, Inc"
IEP,Icahn Enterprises L.P
ICFI,"ICF International, Inc"
IPWR,Ideal Power Inc
IEX,IDEX Corporation
IESC,"IES Holdings, Inc"
INFO,IHS Markit Ltd
ITW,Illinois Tool Works Inc
IGC,"India Globalization Capital, Inc"
IEA,"Infrastructure and Energy Alternatives, Inc"
IR,Ingersoll-Rand Plc
ISSC,"Innovative Solutions and Support, Inc"
NSP,"Insperity, Inc"
IBP,"Installed Building Products, Inc"
IIIN,"Insteel Industries, Inc"
INSW,"International Seaways, Inc"
IVAC,"Intevac, Inc"
ITT,ITT Inc
J,Jacobs Engineering Group Inc.
JAN,JanOne Inc
JBHT,"J.B. Hunt Transport Services, Inc"
JELD,"JELD-WEN Holding, Inc"
JBLU,JetBlue Airways Corporation
JBT,John Bean Technologies Corporation
JCI,Johnson Controls International plc
KAI,Kadant Inc
KAMN,Kaman Corporation
KSU,Kansas City Southern
KBR,"KBR, Inc"
KELYA,"Kelly Services, Inc"
KELYB,"Kelly Services, Inc"
KIQ,Kelso Technologies Inc
KMT,Kennametal Inc
KFRC,Kforce Inc
KE,"Kimball Electronics, Inc"
KEX,Kirby Corporation
KNX,Knight-Swift Transportation Holdings Inc
KNL,"Knoll, Inc"
KNOP,KNOT Offshore Partners LP
KFY,Korn Ferry
KRNT,Kornit Digital Ltd
KTOS,"Kratos Defense & Security Solutions, Inc"
LHX,"L3Harris Technologies, Inc"
LSTR,"Landstar System, Inc"
LAWS,"Lawson Products, Inc"
FSTR,L.B. Foster Company
LII,Lennox International Inc
LTBR,Lightbridge Corporation
LMB,"Limbach Holdings, Inc"
LECO,"Lincoln Electric Holdings, Inc"
LNN,Lindsay Corporation
LIQT,"LiqTech International, Inc"
LMT,Lockheed Martin Corporation
LPX,Louisiana-Pacific Corporation
LXFR,Luxfer Holdings PLC
LDL,"Lydall, Inc"
MIC,Macquarie Infrastructure Corporation
MAGS,Magal Security Systems Ltd
MNTX,"Manitex International, Inc"
MAN,ManpowerGroup Inc
MRTN,"Marten Transport, Ltd"
MAS,Masco Corporation
DOOR,Masonite International Corporation
MHH,"Mastech Digital, Inc"
MTZ,"MasTec, Inc"
MATX,"Matson, Inc"
MATW,Matthews International Corporation
MMS,"MAXIMUS, Inc"
MEC,"Mayville Engineering Company, Inc"
MGRC,McGrath RentCorp
MRCY,"Mercury Systems, Inc"
MESA,"Mesa Air Group, Inc"
YGMZ,MingZhu Logistics Holdings Ltd
MG,"Mistras Group, Inc"
MEG,Montrose Environmental Group Inc
MOG.A,Moog Inc
MOG.B,Moog Inc
MSA,MSA Safety Incorporated
MSM,"MSC Industrial Direct Co., Inc"
MLI,"Mueller Industries, Inc"
MWA,"Mueller Water Products, Inc"
MYRG,MYR Group Inc
NSSC,"Napco Security Technologies, Inc"
NPK,"National Presto Industries, Inc"
NMCI,Navios Maritime Containers L.P
NM,Navios Maritime Holdings Inc
NMM,Navios Maritime Partners L.P
NAV,Navistar International Corporation
NSCO,"Nesco Holdings, Inc"
NEWA,"Newater Technology, Inc"
NLSN,Nielsen Holdings plc
NISN,NiSun International Enterprise Development Group Co. Ltd. Class A
NL,"NL Industries, Inc"
NNBR,"NN, Inc"
NAT,Nordic American Tankers Limited
NDSN,Nordson Corporation
NSC,Norfolk Southern Corporation
NOC,Northrop Grumman Corporation
NWPX,Northwest Pipe Company
NES,"Nuverra Environmental Solutions, Inc"
NVEE,"NV5 Global, Inc"
NVT,nVent Electric plc
NXTD,"Nxt-ID, Inc"
OBCI,"Ocean Bio-Chem, Inc"
OPTT,"Ocean Power Technologies, Inc"
OMEX,"Odyssey Marine Exploration, Inc"
ODFL,"Old Dominion Freight Line, Inc"
OFLX,"Omega Flex, Inc"
OESX,"Orion Energy Systems, Inc"
ORN,"Orion Group Holdings, Inc"
OSK,Oshkosh Corporation
OTIS,Otis Worldwide Corporation
OC,Owens Corning
PCAR,PACCAR Inc
PAE,PAE Incorporated Class A
PTSI,"P.A.M. Transportation Services, Inc"
PANL,"Pangaea Logistics Solutions, Ltd"
PKE,Park Aerospace Corp
PH,Parker-Hannifin Corporation
PKOH,Park-Ohio Holdings Corp
PSN,Parsons Corporation
PATI,"Patriot Transportation Holding, Inc"
PAYX,"Paychex, Inc"
PAYS,"PaySign, Inc"
PNR,Pentair plc
PSHG,Performance Shipping Inc.
PFMT,Performant Financial Corporation
PESI,"Perma-Fix Environmental Services, Inc"
PPIH,"Perma-Pipe International Holdings, Inc"
PFIN,"P&F Industries, Inc"
PFSW,"PFSweb, Inc"
PGTI,"PGT Innovations, Inc"
PPSI,"Pioneer Power Solutions, Inc"
PBI,Pitney Bowes Inc
PLUG,Plug Power Inc
POLA,"Polar Power, Inc"
POWL,"Powell Industries, Inc"
PLPC,Preformed Line Products Company
PRGX,"PRGX Global, Inc"
PRIM,Primoris Services Corporation
IPDN,"Professional Diversity Network, Inc"
PRG,PROG Holdings Inc
PRLB,"Proto Labs, Inc"
PXS,Pyxis Tankers Inc
QUAD,"Quad/Graphics, Inc"
QBAK,Qualstar Corporation
NX,Quanex Building Products Corporation
PWR,"Quanta Services, Inc"
QRHC,Quest Resource Holding Corporation
RADA,RADA Electronic Industries Ltd
RLGT,"Radiant Logistics, Inc"
RAVN,"Raven Industries, Inc"
RTX,Raytheon Technologies Corporation
ROLL,RBC Bearings Incorporated
RCMT,"RCM Technologies, Inc"
RBC,Regal Beloit Corporation
RCII,"Rent-A-Center, Inc"
RSG,"Republic Services, Inc"
REZI,"Resideo Technologies, Inc"
RGP,Resources Connection Inc.
REVG,"REV Group, Inc"
RXN,Rexnord Corporation
RFIL,"RF Industries, Ltd"
RBA,Ritchie Bros. Auctioneers Incorporated
RRTS,"Roadrunner Transportation Systems, Inc"
RHI,Robert Half International Inc
ROK,"Rockwell Automation, Inc"
ROP,"Roper Technologies, Inc"
RRD,R.R. Donnelley & Sons Company
RYAAY,Ryanair Holdings plc
R,"Ryder System, Inc"
RYI,Ryerson Holding Corporation
SB,"Safe Bulkers, Inc"
SAIA,"Saia, Inc"
SNDR,"Schneider National, Inc"
SALT,Scorpio Bulkers Inc
SEB,Seaboard Corporation
SMHI,SEACOR Marine Holdings Inc
SHIP,Seanergy Maritime Holdings Corp
SVT,"Servotronics, Inc"
SGBX,"SG Blocks, Inc"
SMED,Sharps Compliance Corp
PIXY,"ShiftPixy, Inc"
SFL,Ship Finance International Limited
SHYF,Shyft Group Inc.
SIF,"SIFCO Industries, Inc"
SSD,"Simpson Manufacturing Co., Inc"
SINO,"Sino-Global Shipping America, Ltd"
SITE,"SiteOne Landscape Supply, Inc"
SKYW,"SkyWest, Inc"
SWBI,Smith & Wesson Brands Inc.
SNA,Snap-on Incorporated
LUV,Southwest Airlines Co
SGRP,"SPAR Group, Inc"
SPR,"Spirit AeroSystems Holdings, Inc"
SAVE,"Spirit Airlines, Inc"
SP,SP Plus Corporation
SPXC,SPX Corporation
FLOW,"SPX FLOW, Inc"
STAF,"Staffing 360 Solutions, Inc"
SXI,Standex International Corporation
SWK,"Stanley Black & Decker, Inc"
STN,Stantec Inc
SBLK,Star Bulk Carriers Corp
SRT,"StarTek, Inc"
GASS,StealthGas Inc
SCS,Steelcase Inc
STCN,"Steel Connect, Inc"
SPLP,Steel Partners Holdings L.P
SRCL,"Stericycle, Inc"
STRL,"Sterling Construction Company, Inc"
RGR,"Sturm, Ruger & Company, Inc"
SPCB,SuperCom Ltd
SYX,Systemax Inc
TATT,TAT Technologies Ltd
TAYD,"Taylor Devices, Inc"
TISI,"Team, Inc"
TGLS,Tecnoglass Inc
TGEN,Tecogen Inc
TRC,Tejon Ranch Co
TNC,Tennant Company
TEX,Terex Corporation
TTEK,"Tetra Tech, Inc"
TGH,Textainer Group Holdings Limited
TXT,Textron Inc
TFII,TFI International Inc.
BA,The Boeing Company
BCO,The Brink's Company
EML,The Eastern Company
XONE,The ExOne Company
GV,The Goldfield Corporation
GRC,The Gorman-Rupp Company
GBX,"The Greenbrier Companies, Inc"
SCX,The L.S. Starrett Company
MTW,"The Manitowoc Company, Inc"
MIDD,The Middleby Corporation
THR,"Thermon Group Holdings, Inc"
TKR,The Timken Company
TTC,The Toro Company
TRI,Thomson Reuters Corporation
TWI,"Titan International, Inc"
TITN,Titan Machinery Inc
TOMZ,TOMI Environmental Solutions Inc.
BLD,TopBuild Corp
TOPS,Top Ships Inc
TBLT,"ToughBuilt Industries, Inc"
TPIC,"TPI Composites, Inc"
TT,Trane Technologies plc
TRNS,"Transcat, Inc"
TDG,TransDigm Group Incorporated
TRU,TransUnion
TREX,"Trex Company, Inc"
TRS,TriMas Corporation
TNET,"TriNet Group, Inc"
TRN,"Trinity Industries, Inc"
TRTN,Triton International Limited
TGI,"Triumph Group, Inc"
TBI,"TrueBlue, Inc"
TPC,Tutor Perini Corporation
TWIN,"Twin Disc, Incorporated"
ULBI,Ultralife Corporation
UNF,UniFirst Corporation
UNP,Union Pacific Corporation
UAL,"United Airlines Holdings, Inc"
UPS,"United Parcel Service, Inc"
URI,"United Rentals, Inc"
ULH,"Universal Logistics Holdings, Inc"
UUU,"Universal Security Instruments, Inc"
UPWK,Upwork Inc
USAK,"USA Truck, Inc"
USDP,USD Partners LP
ECOL,"US Ecology, Inc"
USX,"U.S. Xpress Enterprises, Inc"
VMI,"Valmont Industries, Inc"
VEC,"Vectrus, Inc"
VRME,VerifyMe Inc.
VRSK,"Verisk Analytics, Inc"
VRTV,Veritiv Corporation
VRRM,Verra Mobility Corporation
VRT,Vertiv Holdings LLC Class A
VVI,Viad Corp
SPCE,Virgin Galactic Holdings Inc
VTSI,"VirTra, Inc"
VVNT,Vivint Smart Home Inc Class A
VOLT,"Volt Information Sciences, Inc"
VSEC,VSE Corporation
WNC,Wabash National Corporation
WAB,Wabtec Corporation
WCN,"Waste Connections, Inc"
WM,"Waste Management, Inc"
WSO,"Watsco, Inc"
WSO.B,"Watsco, Inc"
WTS,"Watts Water Technologies, Inc"
WBT,"Welbilt, Inc"
WERN,"Werner Enterprises, Inc"
WCC,"WESCO International, Inc"
WHLM,"Wilhelmina International, Inc"
WLDN,"Willdan Group, Inc"
WLFC,Willis Lease Finance Corporation
WSC,WillScot Corporation
WNS,WNS (Holdings) Limited
WWD,"Woodward, Inc"
WOR,"Worthington Industries, Inc"
GWW,"W.W. Grainger, Inc"
XPO,"XPO Logistics, Inc"
XYL,Xylem Inc
YRCW,YRC Worldwide Inc
ZTO,ZTO Express (Cayman) Inc
