Ticker,Company
CVGI,"Commercial Vehicle Group, Inc"
CBD,Companhia Brasileira de Distribuicao
CONN,"Conn's, Inc"
AWSM,"Cool Holdings, Inc"
CPS,Cooper-Standard Holdings Inc
CTB,Cooper Tire & Rubber Company
CBRL,"Cracker Barrel Old Country Store, Inc"
CROX,"Crocs, Inc"
CRWS,"Crown Crafts, Inc"
CCK,"Crown Holdings, Inc"
CTIB,CTI Industries Corporation
CULP,"Culp, Inc"
DADA,Dada Nexus Ltd. Sponsored ADR
DAN,Dana Incorporated
DRI,"Darden Restaurants, Inc"
PLAY,"Dave & Buster's Entertainment, Inc"
DECK,Deckers Outdoor Corporation
DLA,"Delta Apparel, Inc"
TACO,"Del Taco Restaurants, Inc"
DENN,Denny's Corporation
DBI,Designer Brands Inc
DESP,"Despegar.com, Corp"
DXLG,"Destination XL Group, Inc"
DKS,"DICK'S Sporting Goods, Inc"
DDS,"Dillard's, Inc"
DIN,"Dine Brands Global, Inc"
DPZ,"Domino's Pizza, Inc"
DORM,"Dorman Products, Inc"
PLOW,"Douglas Dynamics, Inc"
DVD,"Dover Motorsports, Inc"
DKNG,DraftKings Inc Class A
DHI,"D.R. Horton, Inc"
DS,Drive Shack Inc
DLTH,Duluth Holdings Inc
DNKN,"Dunkin' Brands Group, Inc"
EBAY,eBay Inc
MOHO,ECMOHO Ltd Sponsored ADR Class A
EDNT,"Edison Nation, Inc"
ERI,"Eldorado Resorts, Inc"
SOLO,Electrameccanica Vehicles Corp
LOCO,"El Pollo Loco Holdings, Inc"
ELYS,Elys Game Technology Corp.
EFOI,"Energy Focus, Inc"
ELA,Envela Corporation
ESCA,"Escalade, Incorporated"
GMBL,Esports Entertainment Group Inc
ETH,Ethan Allen Interiors Inc
ETSY,"Etsy, Inc"
EVK,"Ever-Glory International Group, Inc"
EVRI,Everi Holdings Inc
EXPE,"Expedia Group, Inc"
EXPR,"Express, Inc"
STAY,"Extended Stay America, Inc"
FTCH,Farfetch Limited
FAT,FAT Brands Inc
RACE,Ferrari N.V
FCAU,Fiat Chrysler Automobiles N.V
FRGI,"Fiesta Restaurant Group, Inc"
FIVE,"Five Below, Inc"
BDL,"Flanigan's Enterprises, Inc"
FLXS,"Flexsteel Industries, Inc"
FND,"Floor & Decor Holdings, Inc"
FL,"Foot Locker, Inc"
F,Ford Motor Company
FRSX,Foresight Autonomous Holdings Ltd
FBHS,"Fortune Brands Home & Security, Inc"
FORD,"Forward Industries, Inc"
FOSL,"Fossil Group, Inc"
FOXF,Fox Factory Holding Corp
FRAN,Francesca's Holdings Corporation
FRG,Franchise Group Inc. Class A
FTDR,"frontdoor, inc"
FLL,"Full House Resorts, Inc"
FNKO,"Funko, Inc"
FFHL,"Fuwei Films (Holdings) Co., Ltd"
GME,GameStop Corp
GAN,GAN Limited
GM,General Motors Company
GCO,Genesco Inc
GNTX,Gentex Corporation
THRM,Gentherm Incorporated
GPC,Genuine Parts Company
GIII,"G-III Apparel Group, Ltd"
GIL,Gildan Activewear Inc
GDEN,"Golden Entertainment, Inc"
GTIM,Good Times Restaurants Inc
GPK,Graphic Packaging Holding Company
GRBK,"Green Brick Partners, Inc"
GP,GreenPower Motor Company Inc.
GHG,GreenTree Hospitality Group Ltd
GEF.B,"Greif, Inc"
GEF,"Greif, Inc"
GPI,"Group 1 Automotive, Inc"
GRWG,GrowGeneration Corp.
GES,"Guess', Inc"
HBI,Hanesbrands Inc
HOG,"Harley-Davidson, Inc"
HAS,"Hasbro, Inc"
HVT.A,"Haverty Furniture Companies, Inc"
HVT,"Haverty Furniture Companies, Inc"
MLHR,"Herman Miller, Inc"
HIBB,"Hibbett Sports, Inc"
HGV,Hilton Grand Vacations Inc
HLT,Hilton Worldwide Holdings Inc
HMC,"Honda Motor Co., Ltd"
HOFT,Hooker Furniture Corporation
HZN,Horizon Global Corporation
HOV,"Hovnanian Enterprises, Inc"
HRB,"H&R Block, Inc"
HTHT,Huazhu Group Limited
HUD,Hudson Ltd
H,Hyatt Hotels Corporation
HYLN,Hyliion Holdings Corp. Class A
ICON,"Iconix Brand Group, Inc"
IMBI,"iMedia Brands, Inc"
IHG,InterContinental Hotels Group PLC
TILE,"Interface, Inc"
IGT,International Game Technology PLC
IP,International Paper Company
JACK,Jack in the Box Inc
JAKK,"JAKKS Pacific, Inc"
JAX,"J. Alexander's Holdings, Inc"
JD,"JD.com, Inc"
JRSH,"Jerash Holdings (US), Inc"
JILL,"J.Jill, Inc"
JOUT,Johnson Outdoors Inc
JMIA,Jumia Technologies AG
KXIN,Kaixin Auto Holdings
KNDI,"Kandi Technologies Group, Inc"
KAR,"KAR Auction Services, Inc"
KSPN,Kaspien Holdings Inc
KBH,KB Home
KBSF,KBS Fashion Group Limited
KEQU,Kewaunee Scientific Corporation
KBAL,"Kimball International, Inc"
KGJI,"Kingold Jewelry, Inc"
KFS,Kingsway Financial Services Inc
KIRK,"Kirkland's, Inc"
KSS,Kohl's Corporation
KTB,"Kontoor Brands, Inc"
KRUS,"Kura Sushi USA, Inc"
LAKE,"Lakeland Industries, Inc"
LE,"Lands' End, Inc"
LVS,Las Vegas Sands Corp
LZB,La-Z-Boy Incorporated
LAZY,"Lazydays Holdings, Inc"
LB,"L Brands, Inc"
LCII,LCI Industries
LEA,Lear Corporation
LEGH,Legacy Housing Corporation
LEG,"Leggett & Platt, Incorporated"
LEN.B,Lennar Corporation
LEN,Lennar Corporation
LESL,Leslie's Inc.
LEVI,Levi Strauss & Co
LGIH,"LGI Homes, Inc"
LI,Li Auto Inc. Sponsored ADR
LCUT,"Lifetime Brands, Inc"
LITB,"LightInTheBox Holding Co., Ltd"
LIND,"Lindblad Expeditions Holdings, Inc"
LQDT,"Liquidity Services, Inc"
LAD,"Lithia Motors, Inc"
LIVE,Live Ventures Incorporated
LKQ,LKQ Corporation
LMPX,LMP Automotive Holdings Inc.
RIDE,Lordstown Motors Corp. Class A
LOW,"Lowe's Companies, Inc"
LUB,"Luby's, Inc"
LK,Luckin Coffee Inc
LULU,Lululemon Athletica Inc
LL,"Lumber Liquidators Holdings, Inc"
M,"Macy's, Inc"
MGA,Magna International Inc
MMYT,MakeMyTrip Limited
MBUU,"Malibu Boats, Inc"
MANU,Manchester United plc
HZO,"MarineMax, Inc"
MPX,Marine Products Corporation
MAR,"Marriott International, Inc"
VAC,Marriott Vacations Worldwide Corporation
MCFT,"MasterCraft Boat Holdings, Inc"
MAT,"Mattel, Inc"
MCD,McDonald's Corporation
MDC,"M.D.C. Holdings, Inc"
MED,"Medifast, Inc"
MLCO,Melco Resorts & Entertainment Limited
MELI,"MercadoLibre, Inc"
MTH,Meritage Homes Corporation
MTOR,"Meritor, Inc"
MGM,MGM Resorts International
MHO,"M/I Homes, Inc"
MLR,"Miller Industries, Inc"
MNSO,MINISO Group Holding Ltd. Sponsored ADR Class A
MOD,Modine Manufacturing Company
MOGU,MOGU Inc
MHK,"Mohawk Industries, Inc"
MKGI,"Monaker Group, Inc"
MCRI,"Monarch Casino & Resort, Inc"
MNRO,"Monro, Inc"
MPAA,"Motorcar Parts of America, Inc"
MOV,"Movado Group, Inc"
MUSA,Murphy USA Inc
GRIL,Muscle Maker Inc.
MYE,"Myers Industries, Inc"
NAKD,Naked Brand Group Limited
NATH,"Nathan's Famous, Inc"
EYE,"National Vision Holdings, Inc"
NHTC,Natural Health Trends Corp
NTZ,Natuzzi S.p.A
NLS,"Nautilus, Inc"
NWGI,Newgioco Group Inc
NKE,"NIKE, Inc"
NKLA,Nikola Corporation
NIO,NIO Inc
NIU,Niu Technologies
NDLS,Noodles & Company
JWN,"Nordstrom, Inc"
NCLH,Norwegian Cruise Line Holdings Ltd
NVFY,"Nova LifeStyle, Inc"
NVR,"NVR, Inc"
ODP,"Office Depot, Inc"
OSW,OneSpaWorld Holdings Limited
ONEW,OneWater Marine Inc Class A
ORLY,"O'Reilly Automotive, Inc"
OSTK,"Overstock.com, Inc"
OI,"Owens-Illinois, Inc"
OXM,"Oxford Industries, Inc"
PKG,Packaging Corporation of America
PZZA,"Papa John's International, Inc"
PRTY,Party City Holdco Inc
PATK,"Patrick Industries, Inc"
PTON,"Peloton Interactive, Inc"
PENN,"Penn National Gaming, Inc"
PAG,"Penske Automotive Group, Inc"
PDD,Pinduoduo Inc
PLNT,"Planet Fitness, Inc"
AGS,"PlayAGS, Inc"
PLYA,Playa Hotels & Resorts N.V
PII,Polaris Inc
POOL,Pool Corporation
PBPB,Potbelly Corporation
PHM,"PulteGroup, Inc"
PRPL,"Purple Innovation, Inc"
PVH,PVH Corp
QS,QuantumScape Corporation Class A
QRTEA,"Qurate Retail, Inc"
QRTEB,"Qurate Retail, Inc"
RL,Ralph Lauren Corporation
PACK,Ranpak Holdings Corp
RAVE,"RAVE Restaurant Group, Inc"
RICK,"RCI Hospitality Holdings, Inc"
RLH,Red Lion Hotels Corporation
RRGB,"Red Robin Gourmet Burgers, Inc"
RRR,"Red Rock Resorts, Inc"
RGS,Regis Corporation
RENN,Renren Inc
QSR,Restaurant Brands International Inc
RVLV,"Revolve Group, Inc"
REYN,Reynolds Consumer Products Inc
RH,RH
RCKY,"Rocky Brands, Inc"
ROL,"Rollins, Inc"
ROST,"Ross Stores, Inc"
RCL,Royal Caribbean Cruises Ltd
RUHN,Ruhnn Holding Limited
RMBL,"RumbleON, Inc"
RUSHB,"Rush Enterprises, Inc"
RUSHA,"Rush Enterprises, Inc"
RUTH,"Ruth's Hospitality Group, Inc"
SBH,"Sally Beauty Holdings, Inc"
SGMS,Scientific Games Corporation
SEE,Sealed Air Corporation
SEAS,"SeaWorld Entertainment, Inc"
SECO,Secoo Holding Limited
SIC,"Select Interior Concepts, Inc"
SQBG,"Sequential Brands Group, Inc"
SCI,Service Corporation International
SHAK,Shake Shack Inc
SHLO,"Shiloh Industries, Inc"
SCVL,"Shoe Carnival, Inc"
SIG,Signet Jewelers Limited
SLGN,Silgan Holdings Inc
SIX,Six Flags Entertainment Corporation
SKX,"Skechers U.S.A., Inc"
SKY,Skyline Champion Corporation
SNBR,Sleep Number Corporation
SAH,"Sonic Automotive, Inc"
SON,Sonoco Products Company
SPWH,"Sportsman's Warehouse Holdings, Inc"
SMP,"Standard Motor Products, Inc"
SBUX,Starbucks Corporation
SMRT,"Stein Mart, Inc"
SHOO,"Steven Madden, Ltd"
SFIX,"Stitch Fix, Inc"
STON,StoneMor Partners L.P
SRI,"Stoneridge, Inc"
STRT,Strattec Security Corporation
MSC,Studio City International Holdings Limited
SGC,"Superior Group of Companies, Inc"
SUP,"Superior Industries International, Inc"
SYPR,"Sypris Solutions, Inc"
TKAT,"Takung Art Co., Ltd"
TLF,"Tandy Leather Factory, Inc"
TPR,"Tapestry, Inc"
TTM,Tata Motors Limited
TMHC,Taylor Morrison Home Corporation
TPX,"Tempur Sealy International, Inc"
TEN,Tenneco Inc
TMX,Terminix Global Holdings Inc
TSLA,"Tesla, Inc"
TXRH,"Texas Roadhouse, Inc"
BKE,"The Buckle, Inc"
CATO,The Cato Corporation
CAKE,The Cheesecake Factory Incorporated
PLCE,"The Children's Place, Inc"
TCS,"The Container Store Group, Inc"
DXYN,"The Dixie Group, Inc"
GPS,"The Gap, Inc"
GT,The Goodyear Tire & Rubber Company
HD,"The Home Depot, Inc"
INTG,The InterGroup Corporation
LOVE,The Lovesac Company
MIK,"The Michaels Companies, Inc"
NWHM,The New Home Company Inc
STKS,"The ONE Group Hospitality, Inc"
REAL,"The RealReal, Inc"
TJX,"The TJX Companies, Inc"
WEN,The Wendy's Company
THO,"Thor Industries, Inc"
TIF,Tiffany & Co
TLYS,"Tilly's, Inc"
TOL,"Toll Brothers, Inc"
CLUB,"Town Sports International Holdings, Inc"
TM,Toyota Motor Corporation
TSCO,Tractor Supply Company
TA,TravelCenters of America Inc
TZOO,Travelzoo
TRIP,"TripAdvisor, Inc"
TCOM,Trip.com Group Ltd. Sponsored ADR
TPH,"TRI Pointe Group, Inc"
TOUR,Tuniu Corporation
TUP,Tupperware Brands Corporation
UFPT,"UFP Technologies, Inc"
ULTA,"Ulta Beauty, Inc"
UA,"Under Armour, Inc"
UAA,"Under Armour, Inc"
UFI,"Unifi, Inc"
UFAB,"Unique Fabricating, Inc"
URBN,"Urban Outfitters, Inc"
MYT,"Urban Tea, Inc"
PRTS,"U.S. Auto Parts Network, Inc"
MTN,"Vail Resorts, Inc"
VNE,"Veoneer, Inc"
VRA,"Vera Bradley, Inc"
VFC,V.F. Corporation
VNCE,Vince Holding Corp
BBIG,Vinco Ventures Inc.
VIPS,Vipshop Holdings Limited
VIRC,Virco Mfg. Corporation
VMAR,Vision Marine Technologies Inc.
VSTO,Vista Outdoor Inc
VC,Visteon Corporation
VRM,Vroom Inc.
W,Wayfair Inc
WPRT,Westport Fuel Systems Inc
WRK,WestRock Company
WEYS,"Weyco Group, Inc"
WHR,Whirlpool Corporation
WSM,"Williams-Sonoma, Inc"
WING,Wingstop Inc
WINA,Winmark Corporation
WGO,"Winnebago Industries, Inc"
WWW,"Wolverine World Wide, Inc"
WKHS,Workhorse Group Inc
WW,"WW International, Inc"
WYND,"Wyndham Destinations, Inc"
WH,"Wyndham Hotels & Resorts, Inc"
WYNN,"Wynn Resorts, Limited"
XELB,"Xcel Brands, Inc"
XPEL,"XPEL, Inc"
XPEV,XPeng Inc. ADR Class A
XSPA,"XpresSpa Group, Inc"
YTRA,"Yatra Online, Inc"
YSG,Yatsen Holding Ltd. ADR Class A
YETI,"YETI Holdings, Inc"
YUM,"YUM! Brands, Inc"
YUMC,"Yum China Holdings, Inc"
YJ,Yunji Inc
ZAGG,ZAGG Inc
ZUMZ,Zumiez Inc
